,gdd,pmm,tmax,tmean,tmin,elevation,exposure,slope,ndvi,ndwi,reci
2020-01-20,0.0,0.0,6.0819707,0.47307438,-2.3946087,234.68951,117.24225,13.417278,,,
2020-01-21,0.0,0.0,6.0709267,1.1307641,-3.275681,234.68951,117.24225,13.417278,,,
2020-01-22,0.0,0.0,7.9538836,1.6853244,-2.7970977,234.68951,117.24225,13.417278,,,
2020-01-23,0.0,0.0,9.357591,2.0712292,-3.345075,234.68951,117.24225,13.417278,,,
2020-01-24,0.0,0.0,7.634249,1.9600769,-3.164636,234.68951,117.24225,13.417278,,,
2020-01-25,0.0,0.0,9.245948,3.669369,0.42330894,234.68951,117.24225,13.417278,,,
2020-01-26,0.0,0.008658007,8.059843,3.6766727,0.20584129,234.68951,117.24225,13.417278,,,
2020-01-27,0.0,0.0,9.88446,3.4178462,-1.2207013,234.68951,117.24225,13.417278,,,
2020-01-28,0.0,1.1302865,7.266744,4.441104,2.2108638,234.68951,117.24225,13.417278,,,
2020-01-29,0.0,0.067764945,12.070245,6.4555964,1.619055,234.68951,117.24225,13.417278,,,
2020-01-30,0.0,0.0,11.426034,4.906778,0.20228745,234.68951,117.24225,13.417278,,,
2020-01-31,0.0,0.024106184,11.919464,3.7788546,-1.2279501,234.68951,117.24225,13.417278,,,
2020-02-01,0.0,0.0,9.004634,2.2731214,-1.501027,234.68951,117.24225,13.417278,,,
2020-02-02,0.0,0.0,11.355859,3.3652344,-0.61900866,234.68951,117.24225,13.417278,,,
2020-02-03,0.0,0.020000396,12.51342,6.03819,0.10517483,234.68951,117.24225,13.417278,,,
2020-02-04,0.0,0.77827245,12.491551,6.5333977,3.7210622,234.68951,117.24225,13.417278,,,
2020-02-05,0.0,0.0,10.841218,7.35475,1.846509,234.68951,117.24225,13.417278,,,
2020-02-06,0.0,0.0,10.734868,3.7222703,-0.8807001,234.68951,117.24225,13.417278,,,
2020-02-07,0.0,0.0,10.848913,3.1506627,-2.583453,234.68951,117.24225,13.417278,,,
2020-02-08,0.0,0.0,9.637946,2.4287999,-3.1464515,234.68951,117.24225,13.417278,,,
2020-02-09,0.0,0.0,9.559891,2.674662,-3.1626778,234.68951,117.24225,13.417278,,,
2020-02-10,0.0,0.0,9.301748,5.9995,3.1523824,234.68951,117.24225,13.417278,,,
2020-02-11,0.0,0.0062569515,18.170057,10.177704,1.6225822,234.68951,117.24225,13.417278,,,
2020-02-12,0.0,0.0,14.784986,7.817795,2.2867682,234.68951,117.24225,13.417278,,,
2020-02-13,0.0,0.0,9.443322,5.301574,-0.9993763,234.68951,117.24225,13.417278,,,
2020-02-14,0.0,0.11615934,16.522537,7.600882,2.0173378,234.68951,117.24225,13.417278,,,
2020-02-15,0.0,0.0,13.859609,5.458505,0.80331755,234.68951,117.24225,13.417278,,,
2020-02-16,0.0,0.0,12.178331,5.21219,-0.98477554,234.68951,117.24225,13.417278,,,
2020-02-17,0.0,0.0,11.193696,5.935694,1.4740702,234.68951,117.24225,13.417278,,,
2020-02-18,0.7457143,0.017189581,18.186646,10.4643545,3.3012507,234.68951,117.24225,13.417278,,,
2020-02-19,0.0,0.016178962,13.730964,7.002674,2.0753787,234.68951,117.24225,13.417278,,,
2020-02-20,0.0,0.0,13.250249,5.2902856,0.7618728,234.68951,117.24225,13.417278,,,
2020-02-21,0.0,0.0,18.039078,6.9882994,-1.5384359,234.68951,117.24225,13.417278,,,
2020-02-22,0.0,0.0,15.292536,8.096682,1.0792409,234.68951,117.24225,13.417278,,,
2020-02-23,0.0,0.0,15.510429,6.8629985,1.2721121,234.68951,117.24225,13.417278,,,
2020-02-24,0.17285714,0.030387977,17.55177,9.424776,2.7959611,234.68951,117.24225,13.417278,,,
2020-02-25,0.0,0.0,9.438012,7.0407796,5.7625413,234.68951,117.24225,13.417278,,,
2020-02-26,0.0,0.52233416,12.854967,8.022183,4.8515344,234.68951,117.24225,13.417278,,,
2020-02-27,0.0,0.0,10.873691,5.617254,-0.89614636,234.68951,117.24225,13.417278,,,
2020-02-28,0.0,0.020421764,13.130462,7.2995486,3.171046,234.68951,117.24225,13.417278,,,
2020-02-29,0.0,0.0,11.198796,6.7320733,1.9406049,234.68951,117.24225,13.417278,,,
2020-03-01,0.0,2.200899,7.07303,5.61198,4.4027042,234.68951,117.24225,13.417278,,,
2020-03-02,0.0,30.037954,8.016083,4.3710985,0.29242113,234.68951,117.24225,13.417278,,,
2020-03-03,0.0,16.517391,11.110232,6.1009364,0.44652334,234.68951,117.24225,13.417278,,,
2020-03-04,0.0,0.0,13.808542,8.491735,2.906667,234.68951,117.24225,13.417278,,,
2020-03-05,0.0,3.509174,6.91747,4.706121,2.0332584,234.68951,117.24225,13.417278,,,
2020-03-06,0.0,8.021382,10.037508,5.0033236,0.90732986,234.68951,117.24225,13.417278,,,
2020-03-07,0.0,0.0,15.343954,7.1372805,2.1004148,234.68951,117.24225,13.417278,,,
2020-03-08,0.0,0.0,14.3907995,6.970346,0.7771693,234.68951,117.24225,13.417278,,,
2020-03-09,0.0,0.018274052,10.761651,6.5870905,0.7395292,234.68951,117.24225,13.417278,,,
2020-03-10,0.0,0.0,12.730711,7.5805173,2.5933974,234.68951,117.24225,13.417278,,,
2020-03-11,0.86,0.0,19.907686,9.254532,1.8117887,234.68951,117.24225,13.417278,,,
2020-03-12,0.47714287,0.0,17.843573,9.897599,3.1135347,234.68951,117.24225,13.417278,,,
2020-03-13,4.7542853,0.0,20.8203,13.405867,8.690997,234.68951,117.24225,13.417278,,,
2020-03-14,0.0,8.51324,10.891639,6.531015,4.0072083,234.68951,117.24225,13.417278,,,
2020-03-15,0.0,0.0,10.827568,7.434327,3.7629406,234.68951,117.24225,13.417278,,,
2020-03-16,0.0,0.0,15.727101,8.595627,2.363509,234.68951,117.24225,13.417278,,,
2020-03-17,0.66428566,0.0,19.206654,9.673392,2.124973,234.68951,117.24225,13.417278,,,
2020-03-18,2.67,0.0,21.591715,11.863333,3.7498715,234.68951,117.24225,13.417278,,,
2020-03-19,2.9214287,0.0,21.300726,12.478629,4.540844,234.68951,117.24225,13.417278,,,
2020-03-20,3.094286,0.0,21.054113,13.3431835,5.136203,234.68951,117.24225,13.417278,,,
2020-03-21,4.5142856,0.0,20.488037,14.580575,8.536954,234.68951,117.24225,13.417278,,,
2020-03-22,3.0514283,0.5240816,18.79458,12.797966,7.3100734,234.68951,117.24225,13.417278,0.2003069967031479,-0.06284479796886444,0.5023745894432068
2020-03-23,0.0,0.0,12.528075,7.600745,2.575834,234.68951,117.24225,13.417278,,,
2020-03-24,0.0,0.0,14.629622,6.783397,-0.020473829,234.68951,117.24225,13.417278,,,
2020-03-25,0.0,0.0,11.648125,5.881237,1.1236905,234.68951,117.24225,13.417278,,,
2020-03-26,0.0,0.015552317,10.970721,5.5454903,0.65205604,234.68951,117.24225,13.417278,,,
2020-03-27,0.0,0.0,12.467271,8.928327,4.132489,234.68951,117.24225,13.417278,,,
2020-03-28,1.6471426,0.0,20.82014,11.449023,2.4716086,234.68951,117.24225,13.417278,,,
2020-03-29,1.5671427,3.0823529,17.834831,12.499877,5.3009048,234.68951,117.24225,13.417278,,,
2020-03-30,0.0,12.978408,10.255335,7.4521327,6.582325,234.68951,117.24225,13.417278,,,
2020-03-31,0.0,0.0,13.680236,7.126079,2.2724614,234.68951,117.24225,13.417278,0.38846898078918457,-0.2400529980659485,1.2777179479599
2020-04-01,0.0,0.0,12.016189,6.2422347,1.7803271,234.68951,117.24225,13.417278,,,
2020-04-02,0.0,0.0,16.757345,7.8975363,0.50069946,234.68951,117.24225,13.417278,,,
2020-04-03,0.41857144,0.0,19.729502,10.133245,1.1062945,234.68951,117.24225,13.417278,,,
2020-04-04,1.91,0.0,20.202345,11.641258,3.6177466,234.68951,117.24225,13.417278,,,
2020-04-05,2.2785714,0.0,21.56778,11.793452,2.986812,234.68951,117.24225,13.417278,,,
2020-04-06,2.82,0.0,21.814821,12.806193,3.8249888,234.68951,117.24225,13.417278,0.39551642537117004,-0.24530674517154694,1.317348599433899
2020-04-07,5.8071427,0.0,25.56452,14.510388,6.053039,234.68951,117.24225,13.417278,,,
2020-04-08,5.841429,0.0,24.560535,15.175452,7.122719,234.68951,117.24225,13.417278,,,
2020-04-09,5.827143,0.0,25.886566,15.5155,5.7642484,234.68951,117.24225,13.417278,0.41230660676956177,-0.26092272996902466,1.4126615524291992
2020-04-10,6.8957143,0.0,26.279894,15.9078245,7.514093,234.68951,117.24225,13.417278,,,
2020-04-11,7.0471425,0.0,26.525358,16.529758,7.5662966,234.68951,117.24225,13.417278,,,
2020-04-12,7.0471425,0.0,26.23117,17.013515,7.863605,234.68951,117.24225,13.417278,0.41352930665016174,-0.2580214738845825,1.4252315759658813
2020-04-13,6.237143,0.0,22.97113,16.611391,9.501656,234.68951,117.24225,13.417278,,,
2020-04-14,4.984286,0.001966469,20.997223,15.832473,8.973008,234.68951,117.24225,13.417278,,,
2020-04-15,2.89,0.0,21.229456,12.031464,4.5474825,234.68951,117.24225,13.417278,,,
2020-04-16,3.9514287,0.0,23.088272,13.584157,4.814698,234.68951,117.24225,13.417278,,,
2020-04-17,5.435714,0.0,25.540836,14.6574545,5.3268027,234.68951,117.24225,13.417278,,,
2020-04-18,7.241429,0.0,26.279623,17.551205,8.201881,234.68951,117.24225,13.417278,,,
2020-04-19,7.3100004,0.0,25.766026,18.104334,8.852894,234.68951,117.24225,13.417278,,,
2020-04-20,5.981429,0.9450435,18.329845,15.606225,13.63018,234.68951,117.24225,13.417278,,,
2020-04-21,6.0142856,0.0,21.226343,15.233504,10.800428,234.68951,117.24225,13.417278,,,
2020-04-22,5.031429,0.0,23.596476,15.064049,6.4700384,234.68951,117.24225,13.417278,,,
2020-04-23,5.3614283,0.0,24.6156,15.382631,6.1065555,234.68951,117.24225,13.417278,,,
2020-04-24,6.515714,0.0,25.5435,16.565252,7.486243,234.68951,117.24225,13.417278,,,
2020-04-25,5.9557147,0.0,24.02721,16.577078,7.881626,234.68951,117.24225,13.417278,,,
2020-04-26,8.3,0.21464026,24.057018,18.378378,12.544252,234.68951,117.24225,13.417278,,,
2020-04-27,7.9414287,0.0001581517,22.5109,17.25463,13.374471,234.68951,117.24225,13.417278,,,
2020-04-28,5.4457145,3.5408292,18.13812,15.267126,12.749512,234.68951,117.24225,13.417278,,,
2020-04-29,3.2528572,10.487941,17.226637,13.449816,9.282861,234.68951,117.24225,13.417278,,,
2020-04-30,2.4985712,15.68067,18.399134,12.59803,6.59817,234.68951,117.24225,13.417278,,,
2020-05-01,3.9357147,2.308949,19.905714,14.002362,7.965383,234.68951,117.24225,13.417278,,,
2020-05-02,7.1842856,0.0,23.925049,17.034916,10.445715,234.68951,117.24225,13.417278,,,
2020-05-03,6.1928573,0.0,23.894024,16.77373,8.491834,234.68951,117.24225,13.417278,,,
2020-05-04,7.1371427,0.0,24.606031,16.9021,9.66701,234.68951,117.24225,13.417278,,,
2020-05-05,4.198571,0.12793466,19.966549,15.215171,8.428605,234.68951,117.24225,13.417278,,,
2020-05-06,8.501429,0.016425652,26.265,18.78403,10.739804,234.68951,117.24225,13.417278,,,
2020-05-07,6.321429,0.0,26.268436,16.397383,6.3759494,234.68951,117.24225,13.417278,,,
2020-05-08,8.234285,0.0,26.25321,18.042034,10.214215,234.68951,117.24225,13.417278,,,
2020-05-09,9.821428,0.0,27.441988,19.986624,12.198226,234.68951,117.24225,13.417278,,,
2020-05-10,9.447143,0.8979245,24.264236,19.17702,14.629954,234.68951,117.24225,13.417278,,,
2020-05-11,5.8628573,16.736456,19.307636,15.6138315,12.416594,234.68951,117.24225,13.417278,,,
2020-05-12,7.6357145,0.23323548,23.086641,16.601614,12.185011,234.68951,117.24225,13.417278,,,
2020-05-13,6.1842856,1.5811211,18.100544,15.876801,14.267135,234.68951,117.24225,13.417278,,,
2020-05-14,9.835715,0.03851233,26.419569,18.90396,13.2518635,234.68951,117.24225,13.417278,,,
2020-05-15,5.5771422,22.087597,18.81401,15.574573,12.339549,234.68951,117.24225,13.417278,,,
2020-05-16,6.772857,0.05610079,22.766962,16.043468,10.77942,234.68951,117.24225,13.417278,,,
2020-05-17,10.537143,6.4758162,26.591114,18.301945,14.480702,234.68951,117.24225,13.417278,0.381872296333313,-0.18162541091442108,1.2414072751998901
2020-05-18,8.792857,0.0050969375,26.028782,19.683558,11.555635,234.68951,117.24225,13.417278,,,
2020-05-19,10.434286,3.412401,25.670477,18.92528,15.197006,234.68951,117.24225,13.417278,0.35093051195144653,-0.17516997456550598,1.095152735710144
2020-05-20,10.840001,0.0,28.852083,20.680716,12.827318,234.68951,117.24225,13.417278,,,
2020-05-21,10.548571,0.0,30.820303,21.397818,10.279671,234.68951,117.24225,13.417278,,,
2020-05-22,9.612857,0.0,27.0835,19.679415,12.139274,234.68951,117.24225,13.417278,,,
2020-05-23,11.505714,12.886189,27.849545,20.24382,15.164511,234.68951,117.24225,13.417278,,,
2020-05-24,9.921428,0.010805889,25.922638,19.458197,13.915713,234.68951,117.24225,13.417278,,,
2020-05-25,8.388572,0.0,27.717546,19.415174,9.063724,234.68951,117.24225,13.417278,,,
2020-05-26,8.927142,0.0,27.431492,20.642328,10.422228,234.68951,117.24225,13.417278,,,
2020-05-27,8.164286,0.0,26.596207,19.007946,9.731851,234.68951,117.24225,13.417278,,,
2020-05-28,9.061429,0.0,26.887218,18.646826,11.23453,234.68951,117.24225,13.417278,,,
2020-05-29,8.598572,0.0,25.444859,19.242205,11.753251,234.68951,117.24225,13.417278,,,
2020-05-30,7.6314287,0.0,22.561697,18.184372,12.699837,234.68951,117.24225,13.417278,,,
2020-05-31,8.1285715,0.0,23.214483,17.717367,13.043464,234.68951,117.24225,13.417278,,,
2020-06-01,8.588572,0.0,27.844805,19.753689,9.3334,234.68951,117.24225,13.417278,,,
2020-06-02,12.5,0.0,31.73092,21.582047,13.269343,234.68951,117.24225,13.417278,0.45876917243003845,-0.3032451570034027,1.7247177362442017
2020-06-03,11.044287,0.0,29.601595,20.22261,12.485162,234.68951,117.24225,13.417278,,,
2020-06-04,7.4614286,5.4813647,20.241184,17.500824,14.679534,234.68951,117.24225,13.417278,,,
2020-06-05,9.555715,12.189329,26.557598,18.990559,12.556264,234.68951,117.24225,13.417278,,,
2020-06-06,11.271429,0.0,26.500015,21.040068,16.042233,234.68951,117.24225,13.417278,,,
2020-06-07,6.88,14.638021,20.03868,17.42572,13.720269,234.68951,117.24225,13.417278,,,
2020-06-08,7.6171427,9.971627,22.27007,15.920906,12.963027,234.68951,117.24225,13.417278,,,
2020-06-09,8.262857,3.905182,22.700113,17.122978,13.821863,234.68951,117.24225,13.417278,,,
2020-06-10,6.69,15.110756,20.211914,15.924284,13.168536,234.68951,117.24225,13.417278,,,
2020-06-11,6.5914283,1.4259385,20.541319,15.826331,12.643278,234.68951,117.24225,13.417278,,,
2020-06-12,9.472857,0.0,27.283733,19.11081,11.661728,234.68951,117.24225,13.417278,,,
2020-06-13,11.185715,0.37802294,29.335264,20.991825,13.030408,234.68951,117.24225,13.417278,,,
2020-06-14,10.441428,1.8176317,24.982927,19.708006,15.898035,234.68951,117.24225,13.417278,,,
2020-06-15,9.588572,0.5224941,22.4492,18.733597,16.730827,234.68951,117.24225,13.417278,,,
2020-06-16,11.422857,18.48287,27.83816,20.507542,15.009892,234.68951,117.24225,13.417278,,,
2020-06-17,8.568571,16.772291,22.430986,18.097645,14.706729,234.68951,117.24225,13.417278,,,
2020-06-18,11.34143,3.7755103,28.406298,20.520334,14.277654,234.68951,117.24225,13.417278,,,
2020-06-19,9.648572,7.1575427,25.122776,18.077192,14.174136,234.68951,117.24225,13.417278,,,
2020-06-20,10.031428,0.0,29.049932,20.926104,11.011518,234.68951,117.24225,13.417278,,,
2020-06-21,11.655715,0.0,29.646667,23.15814,13.667382,234.68951,117.24225,13.417278,,,
2020-06-22,13.49,0.0,31.460941,24.757992,15.519651,234.68951,117.24225,13.417278,,,
2020-06-23,13.72,0.0,33.210846,24.337875,14.226387,234.68951,117.24225,13.417278,0.48377132415771484,-0.3055368661880493,1.890915036201477
2020-06-24,12.585715,0.14285716,29.873613,23.346544,15.298265,234.68951,117.24225,13.417278,,,
2020-06-25,13.511428,0.04959199,28.18509,23.217865,18.836863,234.68951,117.24225,13.417278,0.44670793414115906,-0.28047898411750793,1.6356326341629028
2020-06-26,14.007142,1.7807102,29.151045,22.256987,18.865757,234.68951,117.24225,13.417278,,,
2020-06-27,14.431428,5.5,31.339844,24.388233,17.522501,234.68951,117.24225,13.417278,,,
2020-06-28,15.190001,0.071553536,32.52814,25.048529,17.8541,234.68951,117.24225,13.417278,,,
2020-06-29,13.678572,4.007744,27.899199,23.697002,19.457806,234.68951,117.24225,13.417278,,,
2020-06-30,14.751429,0.0,31.195103,24.513056,18.30971,234.68951,117.24225,13.417278,,,
2020-07-01,14.652857,7.7959185,30.02022,24.04414,19.283636,234.68951,117.24225,13.417278,,,
2020-07-02,14.224284,7.4687805,31.05083,23.331772,17.39501,234.68951,117.24225,13.417278,,,
2020-07-03,12.947143,7.6966844,28.558506,22.135115,17.335436,234.68951,117.24225,13.417278,0.4353663921356201,-0.2743379473686218,1.5524579286575317
2020-07-04,12.68,0.0,29.58276,23.034029,15.780147,234.68951,117.24225,13.417278,,,
2020-07-05,13.435715,0.0,31.32347,23.719807,15.544173,234.68951,117.24225,13.417278,,,
2020-07-06,15.389999,1.8330195,32.889446,24.155258,17.891405,234.68951,117.24225,13.417278,,,
2020-07-07,13.164286,0.0,29.036777,23.461958,17.29174,234.68951,117.24225,13.417278,,,
2020-07-08,12.874285,0.0,29.210009,22.389969,16.538797,234.68951,117.24225,13.417278,0.41353321075439453,-0.26562151312828064,1.4227524995803833
2020-07-09,13.344286,0.0,31.764889,23.727804,14.922157,234.68951,117.24225,13.417278,,,
2020-07-10,15.971429,3.9346707,32.635754,25.512373,19.306992,234.68951,117.24225,13.417278,,,
2020-07-11,9.547143,17.940565,22.489643,19.228031,16.60496,234.68951,117.24225,13.417278,,,
2020-07-12,10.052856,0.0,28.70048,20.306705,11.404292,234.68951,117.24225,13.417278,,,
2020-07-13,12.664285,2.5955713,27.70051,22.508625,17.621332,234.68951,117.24225,13.417278,,,
2020-07-14,10.781428,1.164729,25.153866,21.039324,16.410543,234.68951,117.24225,13.417278,,,
2020-07-15,10.63,2.538134,25.513058,19.436245,15.746523,234.68951,117.24225,13.417278,,,
2020-07-16,10.571428,0.09421673,27.729654,21.069887,13.417205,234.68951,117.24225,13.417278,,,
2020-07-17,14.314285,0.0,30.730976,23.593525,17.89561,234.68951,117.24225,13.417278,,,
2020-07-18,11.704286,0.0,29.536215,23.006168,13.876356,234.68951,117.24225,13.417278,,,
2020-07-19,11.874285,0.0,30.95296,22.048569,12.80127,234.68951,117.24225,13.417278,,,
2020-07-20,14.678572,0.0,32.85068,24.945189,16.508192,234.68951,117.24225,13.417278,,,
2020-07-21,13.470001,4.896756,28.956972,23.069378,17.981798,234.68951,117.24225,13.417278,,,
2020-07-22,14.542857,3.2244897,31.698195,23.340302,17.388578,234.68951,117.24225,13.417278,,,
2020-07-23,14.804286,3.7346938,33.122906,24.689533,16.485456,234.68951,117.24225,13.417278,,,
2020-07-24,9.058572,17.76322,21.600845,18.324594,16.516253,234.68951,117.24225,13.417278,,,
2020-07-25,12.452857,0.0,30.828983,21.690258,14.07605,234.68951,117.24225,13.417278,,,
2020-07-26,12.517143,0.28432128,29.025705,22.373158,16.006876,234.68951,117.24225,13.417278,,,
2020-07-27,14.42,0.0,31.78728,24.189716,17.051638,234.68951,117.24225,13.417278,,,
2020-07-28,16.082857,5.5302277,33.6946,24.68749,18.467451,234.68951,117.24225,13.417278,,,
2020-07-29,15.757143,1.8163264,33.77781,25.109255,17.734842,234.68951,117.24225,13.417278,,,
2020-07-30,17.497143,9.816325,34.31659,26.651684,20.676828,234.68951,117.24225,13.417278,,,
2020-07-31,16.135714,0.73497236,33.935,24.8832,18.334272,234.68951,117.24225,13.417278,,,
2020-08-01,18.04143,2.7534168,36.5975,26.348846,19.48393,234.68951,117.24225,13.417278,,,
2020-08-02,14.484285,1.4209491,29.863016,23.607967,19.105057,234.68951,117.24225,13.417278,,,
2020-08-03,11.012857,29.940083,25.76073,20.043713,16.267456,234.68951,117.24225,13.417278,,,
2020-08-04,9.811429,6.001053,25.232626,18.718504,14.388603,234.68951,117.24225,13.417278,,,
2020-08-05,11.438573,0.0,29.393015,20.822638,13.482583,234.68951,117.24225,13.417278,0.49369892477989197,-0.3018815815448761,1.9736162424087524
2020-08-06,13.122856,4.8636727,31.734982,22.344763,14.511956,234.68951,117.24225,13.417278,,,
2020-08-07,14.255714,0.0,31.68339,23.965794,16.831331,234.68951,117.24225,13.417278,0.4860025644302368,-0.2849476933479309,1.9206345081329346
2020-08-08,15.818571,0.0,32.786987,25.524942,18.847635,234.68951,117.24225,13.417278,,,
2020-08-09,15.491429,0.0,33.473248,25.219923,17.507732,234.68951,117.24225,13.417278,0.4849993586540222,-0.2894655466079712,1.9211671352386475
2020-08-10,15.815715,0.46059865,32.773693,25.30051,18.862612,234.68951,117.24225,13.417278,,,
2020-08-11,15.751429,0.27584705,32.323334,24.557802,19.180283,234.68951,117.24225,13.417278,,,
2020-08-12,15.671428,5.3061223,32.615665,25.313889,18.724289,234.68951,117.24225,13.417278,,,
2020-08-13,15.778571,2.1030138,31.86137,24.334671,19.696854,234.68951,117.24225,13.417278,,,
2020-08-14,10.7371435,10.698021,25.177153,19.792145,16.296648,234.68951,117.24225,13.417278,,,
2020-08-15,12.897142,0.061164558,30.55369,21.464096,15.238787,234.68951,117.24225,13.417278,,,
2020-08-16,14.064285,3.141922,29.592112,23.419504,18.541025,234.68951,117.24225,13.417278,,,
2020-08-17,11.99,9.775511,26.392221,21.044847,17.591196,234.68951,117.24225,13.417278,0.30441442131996155,-0.14107529819011688,0.8772584199905396
2020-08-18,12.8,0.0,29.439558,20.940973,16.161282,234.68951,117.24225,13.417278,,,
2020-08-19,12.8,0.0,29.439558,20.940973,16.161282,234.68951,117.24225,13.417278,,,
2020-08-20,15.641428,0.0,32.208874,24.791666,19.074476,234.68951,117.24225,13.417278,0.40419894456863403,-0.2533833086490631,1.3666077852249146
2020-08-21,15.914285,0.0,32.62912,26.389158,19.205963,234.68951,117.24225,13.417278,,,
2020-08-22,15.271429,10.262146,33.144886,24.16164,17.392986,234.68951,117.24225,13.417278,,,
2020-08-23,11.598572,1.8679072,27.480915,20.186949,15.716143,234.68951,117.24225,13.417278,,,
2020-08-24,11.155714,1.1062217,27.536741,20.065128,14.775294,234.68951,117.24225,13.417278,,,
2020-08-25,11.125714,0.0,28.524963,20.557318,13.729268,234.68951,117.24225,13.417278,,,
2020-08-26,11.929999,0.0,27.23556,21.768833,16.626532,234.68951,117.24225,13.417278,,,
2020-08-27,13.044286,0.0,30.706709,22.754236,15.38453,234.68951,117.24225,13.417278,,,
2020-08-28,13.145715,18.307693,27.65413,22.623549,18.639364,234.68951,117.24225,13.417278,,,
2020-08-29,10.4,77.63978,23.594986,19.2719,17.20155,234.68951,117.24225,13.417278,,,
2020-08-30,9.281428,29.439404,23.0491,18.056116,15.516289,234.68951,117.24225,13.417278,,,
2020-08-31,6.5457144,0.8374173,19.780504,16.714872,13.313477,234.68951,117.24225,13.417278,,,
2020-09-01,10.21,0.011905147,26.729649,18.90219,13.689521,234.68951,117.24225,13.417278,,,
2020-09-02,8.358572,3.3299286,22.764585,17.438076,13.950385,234.68951,117.24225,13.417278,,,
2020-09-03,8.2371435,0.49725953,25.858341,17.314856,10.616986,234.68951,117.24225,13.417278,,,
2020-09-04,8.748571,0.0,25.998764,17.979513,11.49878,234.68951,117.24225,13.417278,,,
2020-09-05,11.067143,0.039220117,28.301264,20.389462,13.832132,234.68951,117.24225,13.417278,,,
2020-09-06,10.791429,0.39938444,25.139761,20.465786,16.444637,234.68951,117.24225,13.417278,,,
2020-09-07,8.164286,3.3020203,20.715837,17.623196,15.610782,234.68951,117.24225,13.417278,,,
2020-09-08,9.927144,0.0,26.28305,19.48633,13.568616,234.68951,117.24225,13.417278,,,
2020-09-09,11.178572,0.0,27.554295,20.444448,14.807466,234.68951,117.24225,13.417278,,,
2020-09-10,11.207143,0.0,26.632908,20.580013,15.780633,234.68951,117.24225,13.417278,,,
2020-09-11,12.551429,2.2448978,27.876184,21.849508,17.22723,234.68951,117.24225,13.417278,,,
2020-09-12,12.909999,0.0,29.017822,22.776,16.802818,234.68951,117.24225,13.417278,,,
2020-09-13,13.410001,0.0,29.11632,22.654537,17.705479,234.68951,117.24225,13.417278,,,
2020-09-14,12.517142,0.0,28.708664,22.516317,16.324106,234.68951,117.24225,13.417278,0.5247339606285095,-0.3016360402107239,2.2278082370758057
2020-09-15,12.834287,0.0,28.025331,22.231047,17.641712,234.68951,117.24225,13.417278,,,
2020-09-16,12.188571,2.4110227,28.940252,20.965086,15.437765,234.68951,117.24225,13.417278,,,
2020-09-17,11.490001,0.082327425,29.200586,19.953962,13.777529,234.68951,117.24225,13.417278,,,
2020-09-18,10.654286,0.0,27.37625,20.257864,13.932778,234.68951,117.24225,13.417278,,,
2020-09-19,10.7628565,0.0,26.713057,20.391323,14.816155,234.68951,117.24225,13.417278,,,
2020-09-20,11.062858,0.0,26.458055,20.535078,15.666558,234.68951,117.24225,13.417278,,,
2020-09-21,10.587143,1.0137962,24.859707,19.710005,16.316645,234.68951,117.24225,13.417278,,,
2020-09-22,9.545714,2.537565,23.256323,18.629484,15.837392,234.68951,117.24225,13.417278,,,
2020-09-23,9.731429,3.1875072,23.135624,18.247168,16.326801,234.68951,117.24225,13.417278,0.21015526354312897,-0.07191977649927139,0.5331051349639893
